Given_ID_Clean,Presumed_ID_Clean,uncertain
pumpkin sweet,pumpkin russet,
pumpkin sweet,pumpkin russet,
pumpkin sour,,?
pumpkin,pumpkin russet,
prywate,primate,
province baldwin,,?
providence baldwin,,?
prospect greening,fall harvey,
prospect greening,fall harvey,
prolific sweet,prolific sweet,
prolific,prolific,
princess,,?
prince rupert,,?
prince of the kitchen,,?
prime,,?
primate,primate,
primate,primate,
pride of the orchard,queen of the orchard,
pride of maine,,?
pretainger,,?
president durward,,?
president duma,,?
president breonard,,?
president,president,
president,president,
pratt's special,,?
pratt,,?
pr. l. greening,rhode island greening ,
pound sweeting,lyman's pumpkin sweet,
pound sweeting,lyman's pumpkin sweet,
pound sweeting,lyman's pumpkin sweet,
pound sweet,lyman's pumpkin sweet,
pound sweet,lyman's pumpkin sweet,
pound sweet,lyman's pumpkin sweet,
pound russet,,?
pound royal,dyer,
pound pippin,fall pippin,
pound apple,gloria mundi,
pound apple,gloria mundi,
pound,gloria mundi,
pound,gloria mundi,
poughkeepsie russet,english russet,
poughkeepsie,english russet,
potter's sweet,leicester sweet,
potter sweet,leicester sweet,
portsmouth sweet,ledge sweet,
porter sweet,leicester sweet,
porter apple,porter,
porter,porter,
porter,porter,
ponds sweet,lyman's pumpkin sweet,
pond sweeting,lyman's pumpkin sweet,
ponard sweet,lyman's pumpkin sweet,
pommie gris,pomme gris,
pomme gris,pomme gris,
pomme gess,pomme gris,
pomeroy,pomme gris,
pomegris,pomme gris,
pome royal,dyer,
pomagree,pomme gris,
points,,?
plum crab,plumb crab,
plain russet,,?
plain jennette,fall jennetting,
pittsfield,,?
pippins,,?
pippin,,?
pippin,,?
pipin,,?
pinnate,primate,
pink cheek,,?
pine grove sweeting,,?
pinball sweet,,?
pin ball,,?
pike sweet,,?
pignose,,?
pie apple gravenstein,,?
pie apple,,?
phonix,,?
phoenix,,?
philadelphia pippin,fall pippin,
philadelphia pippin,fall pippin,
philadelphia broad,pennock,
phila. pearmain,,?
phila broad,pennock,
phil. stripe,,?
pewawkee,pewaukee,
pewaukie,pewaukee,
pewaukee,pewaukee,
pewaukee,pewaukee,
pewauke,pewaukee,
pewankee,pewaukee,
pewakee,pewaukee,
pewakee,pewaukee,
pewaka,pewaukee,
peure gusi,pomme gris,
petofsky,tetofski,
peters apple,peter,
peter pan,,?
peter,peter,
persian crab,,?
perry's seedling,,?
perry's russet,perry russet,
perkins sweet,,?
perfect,perfect,
perfect,perfect,
pennsylvania red,pennock,
