County,Fair,Year,IsApple,Given_ID,Given_ID_Clean,Alt_ID,Alt_ID_Clean,Presumed_ID,Presumed_ID_Clean,Uncertain
Knox,Knox Co.,1886,True,Gravenstein,gravenstein,,,Gravenstein,gravenstein,False
Knox,Knox Co.,1886,True,Hart's Red,hart's red,,,,,False
Knox,Knox Co.,1886,True,Hubbardston Nonsuch,hubbardston nonsuch,"Hubbardston Non Such, Hubbardstone Nonesuch","hubbardston non such, hubbardstone nonesuch",Hubbardston,hubbardston,False
Knox,Knox Co.,1886,True,Maiden Blush,maiden blush,Maiden's Blush,maiden's blush,Maiden Blush,maiden blush,False
Knox,Knox Co.,1886,True,Nod Head,nod head,Jewett's Red,jewett's red,Nodhead,nodhead,False
Knox,Knox Co.,1886,True,Northern Spy,northern spy,Spy,spy,Northern Spy,northern spy,False
Knox,Knox Co.,1886,True,Peck's Pleasant,peck's pleasant,,,Peck Pleasant,peck pleasant,False
Knox,Knox Co.,1886,True,Pewaukee,pewaukee,"Peawaukie, Pervaukie","peawaukie, pervaukie",Pewaukee,pewaukee,False
Knox,Knox Co.,1886,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1886,True,R. I. Greening,r. i. greening,,,Rhode Island Greening,rhode island greening,False
Knox,Knox Co.,1886,True,Red Astrachan,red astrachan,,,Red Astrachan,red astrachan,False
Knox,Knox Co.,1886,True,Roxbury Russet,roxbury russet,,,Roxbury Russet,roxbury russet,False
Knox,Knox Co.,1886,True,Swaar,swaar,,,Swaar,swaar,False
Knox,Knox Co.,1886,True,Sweet Russet,sweet russet,,,,,False
Knox,Knox Co.,1886,True,Talman Sweet,talman sweet,Tallman Sweet,tallman sweet,Tolman Sweet,tolman sweet,False
Knox,Knox Co.,1886,True,Tompkins King,tompkins king,"King, King of Tompkin's Co., ","king, king of tompkin's co.,",King of Tompkins County,king of tompkins county,False
Knox,Knox Co.,1886,True,Wagence,wagence,,,Wagener,wagener,False
Knox,Knox Co.,1886,True,Wealthy,wealthy,,,Wealthy,wealthy,False
Knox,Knox Co.,1886,True,William's Favorite,william's favorite,Williams,williams,William's Favorite,william's favorite,False
