County,Fair,Year,Event,Location,Source,Page,Notes
york,acton fair,1889.0,shapleigh & acton fair,acton,biddeford weekly journal,2,premiums
york,acton fair,1898.0,shapleigh & acton fair,acton,biddeford weekly journal,8,premiums
york,acton fair,1897.0,shapleigh & acton fair,acton,biddeford weekly journal,3,premiums
york,acton fair,1905.0,shapleigh & acton fair,acton,biddeford weekly journal,5,premiums
york,waterboro,1912.0,south waterboro grange fair,south waterboro,the weekly record,8,premiums
york,waterboro,1925.0,waterboro fair,waterboro,sanford tribune & advocate,6,premiums
york,waterboro,1926.0,waterboro fair,waterboro,biddeford weekly journal,8,premiums
york,waterboro,1929.0,waterboro fair,waterboro,sanford tribune & advocate,2,premiums
york,waterboro,1930.0,waterboro fair,waterboro,sanford tribune & advocate,2,premiums
york,waterboro,1931.0,waterboro fair,waterboro,sanford tribune & advocate,6,premiums
york,york co. farm bureau,1919.0,york co. farm bureau meeting,,biddeford weekly journal,7,premiums
york,york co. farm bureau,1921.0,york co. farm bureau meeting,sanford,sanford times,1,premiums
york,york co. farm bureau,1923.0,york co. farm bureau meeting,sanford,sanford tribune,"1,10",premiums
york,york co. farm bureau,1925.0,york co. farm bureau meeting,sanford,biddeford weekly journal,2,premiums
york,kennebunkport,1904.0,kennebunkport farmers club fair,kennebunkport,biddeford weekly journal,6,premiums
york,kennebunkport,1906.0,kennebunkport farmers club fair,kennebunkport,biddeford weekly journal,1,premiums
york,kennebunkport,1898.0,kennebunkport farmers club fair,kennebunkport,biddeford weekly journal,5,description
york,kennebunkport,1910.0,kennebunkport farmers club fair,kennebunkport,biddeford weekly journal,1,premiums
york,kennebunkport,1894.0,kennebunkport farmers club fair,kennebunkport,biddeford weekly journal,2,description
york,kennebunkport,1896.0,kennebunkport farmers club fair,kennebunkport,biddeford weekly journal,2,premiums
york,lyman,1920.0,goodwin's mills grange fair,goodwin's mills,biddeford weekly journal,5,premiums
york,lyman,1924.0,goodwin's mills grange fair,goodwin's mills,biddeford weekly journal,8,premiums
york,kennebunk,1892.0,alewive grange fair,kennebunk,biddeford weekly journal,3,description
york,kennebunk,1891.0,alewive grange fair,kennebunk,biddeford weekly journal,3,premiums
york,kennebunk,1890.0,alewive grange fair,kennebunk,biddeford daily journal,2,description
york,buxton,1876.0,buxton & hollis fair,buxton,the portland daily press,3,premiums
york,buxton,1880.0,buxton & hollis fair,buxton,the union and journal,1,premiums
york,buxton,1883.0,buxton & hollis fair,buxton,the portland daily press,1,description
york,buxton,1884.0,buxton grange fair,buxton,the portland daily press,4,des. & prem.
york,buxton,1885.0,buxton grange fair,buxton,biddeford weekly journal,2,description
york,buxton,1884.0,buxton & hollis fair,buxton,biddeford daily journal,2,premiums
york,buxton,1879.0,buxton & hollis fair,buxton,the union and journal,1,des. & prem.
york,york co. fair,1849.0,york co. fair,limerick,the union,2,description
york,york co. fair,1850.0,york co. fair,south berwick,the union,1,des. & prem.
york,york co. fair,1851.0,york co. fair,biddeford,the union,2,description
york,york co. fair,1858.0,york co. fair,saco,maine democrat,2,description
york,york co. fair,1860.0,york co. fair,saco,the union and journal,1,des. & prem.
york,york co. fair,1862.0,york co. fair,saco,the union and journal,1,premiums
york,york co. fair,1864.0,york co. fair,saco,maine democrat,1,description
